"PubOrder","SiteName","CRA","Error","LabID","Problems","Material","Reference","OccCRA","OccError"
1,"Toca do Sitio do Meio",12440,230,"Gif-5403",,"Charcoal","Guidon, 1986",12440,230
2,"Toca do Gordo do Garrincho",12210,40,"Beta-136204",,"Human teeth","Guidon et al., 2000",12210,40
3,"Lapa do Boquete",12070,170,"CDTN-2403",,"Charcoal","Fogaça, 2001",12053,148
4,"Lapa do Boquete",12000,300,"CDTN-1084",,"Charcoal","Prous and Fogaça, 1999",,
5,"Caverna da Pedra Pintada",11145,135,"GX-17413",,"Seed","Roosevelt et al., 1996",11145,135
6,"Lapa do Dragao",11000,300,"CDTN-1007",,"Charcoal","Prous et al., 1996/1997",11000,300
7,"Lapa do Boquete",11440,240,"CDTN-1080",,"Charcoal","Prous, 1991",11303,127
8,"Lapa do Boquete",11250,150,"CDTN-2697",,"Charcoal","Prous, 1991",,
9,"Lapa do Boquete",11000,232,"CDTN-1003",,"Charcoal","Prous, 1991",11000,232
10,"Caverna da Pedra Pintada",10905,295,"GX-17407",,"Seed","Roosevelt et al., 1996",10890,208
11,"Caverna da Pedra Pintada",10875,295,"GX-17414",,"Seed","Roosevelt et al., 1996",,
12,"Caverna da Pedra Pintada",10683,80,"NZA-9898",,"Seed","Roosevelt et al., 2002",10606,47
13,"Caverna da Pedra Pintada",10655,285,"GX-17420",,"Seed","Roosevelt et al., 1996",,
14,"Caverna da Pedra Pintada",10560,60,"Beta-76953",,"Seed","Roosevelt et al., 1996",,
15,"Caverna da Pedra Pintada",10450,60,"Beta-76952",,"Charcoal","Roosevelt et al., 1996",10372,23
16,"Caverna da Pedra Pintada",10470,70,"GX-19537",,"Seed","Roosevelt et al., 1996",,
17,"Caverna da Pedra Pintada",10410,60,"GX-19538",,"Seed","Roosevelt et al., 1996",,
18,"Caverna da Pedra Pintada",10392,78,"GX-17400",,"Seed","Roosevelt et al., 1996",,
19,"Caverna da Pedra Pintada",10390,70,"GX-19538",,"Seed","Roosevelt et al., 1996",,
20,"Caverna da Pedra Pintada",10360,70,"GX-19536",,"Seed","Roosevelt et al., 1996",,
21,"Caverna da Pedra Pintada",10305,275,"GX-17422",,"Seed","Roosevelt et al., 1996",,
22,"Caverna da Pedra Pintada",10275,275,"GX-17421",,"Seed","Roosevelt et al., 1996",,
23,"Caverna da Pedra Pintada",10261,62,"NZA-9897",,"Seed","Roosevelt et al., 2002",,
24,"Caverna da Pedra Pintada",10250,70,"GX-19537",,"Seed","Roosevelt et al., 1996",,
25,"Santa Elina",10120,60,"Gif-8954",,"Charcoal","Vialou, 2005",10120,60
26,"MT-SL-31-Morro da Janela",10080,80,"Beta-78053",,"Charcoal","Wust, 1990",10080,80
27,"Miracema do Tocantins 1",10530,90,"Beta-190080",,"Charcoal","Bueno, 2007",10530,90
28,"Capivara 5",10050,80,"Beta-179196",,"Charcoal","Bueno, 2007",10050,80
29,"Lajeado 18",10300,60,"Beta-179198",,"Charcoal","Bueno, 2007",10300,60
30,"GO-JA-01",10580,115,"SI-3699",,"Charcoal","Schmitz, 1987",10501,86
31,"GO-JA-01",10400,130,"N-2348",,"Charcoal","Schmitz, 1987; Schmitz",,
32,"GO-JA-02",10120,80,"SI-3108",,"Charcoal","Schmitz, 1987",10120,80
33,"GO-JA-14",10740,85,"SI-3111",,"Charcoal","Schmitz, 1987",10740,85
34,"GO-NI-49",10750,300,"SI-2769",,"Charcoal","Barbosa et al., 1976e77",10750,300
35,"MS-PA-02",10340,110,"Beta-22645",,"Charcoal","Veroneze, 1992",10432,65
36,"MS-PA-02",10480,80,"Beta-47240",,"Charcoal","Veroneze, 1992",,
37,"MS-PA-02",10090,70,"Beta-22634",,"Charcoal","Veroneze, 1992",10090,70
38,"Boqueirao da Pedra",10454,114,"FZ-430",,"Charcoal","Parenti, 1996",10439,96
39,"Furada",10400,180,"Gif-5862",,"Charcoal","Parenti, 1996",,
40,"Furada",10050,80,"Gif-8352",,"Charcoal","Parenti, 1996",10045,57
41,"Furada",10040,80,"Gif-8389",,"Charcoal","Parenti, 1996",,
42,"Toca do Sitio do Meio",10530,100,"Beta-32971",,"Charcoal","Guidon and Pessis, 1993",10530,100
43,"Toca de Cima do Pilao",10390,80,"Beta-27345",,,"Kipnis, 1998",10390,80
44,"Toca do Elias",10270,35,"CAMS-95865",,"Charcoal","Guidon et al., 2009",10270,35
45,"Toca do João Leite",10800,70,"Beta-220088",,"Charcoal","Guidon et al., 2009",10800,70
46,"Sitio Toca dos Coqueiros",10640,50,"Beta-104571",,"Hair",,10640,50
47,"Toca da Lagoa de Cima IX",10480,50,"Beta-233909",,"Charcoal","Guidon et al., 2009",10480,50
48,"Boa Vista I",10530,110,"Beta-32971",,"Charcoal","Kipnis, 1998",10530,110
49,"Lapa do Dragao",10000,255,"CDTN-1008",,"Charcoal","Kipnis, 1998",10000,255
50,"Lapa do Boquete",10910,140,"CDTN-3114",,"Charcoal","Kipnis, 2002",10910,140
51,"Lapa do Boquete",10250,345,"CDTN-3015",,"Charcoal","Kipnis, 2002",10123,153
52,"Lapa do Boquete",10200,250,"CDTN-2731",,"Charcoal","Kipnis, 2002",,
53,"Lapa do Boquete",10000,232,"CDTN-1004",,"Charcoal","Kipnis, 2002",,
54,"Lapa dos Bichos",10450,70,"Beta-100397",,"Charcoal","Kipnis, 1998, 2002",10450,70
55,"Lapa do Caboblo",10560,40,"Beta-199503",,"Charcoal","Isnardis, 2009",10560,80
56,"Lapa do Caboblo",10380,60,"Beta-233764",,"Charcoal","Isnardis, 2009",10380,60
57,"Lapa do Peixe Gordo",10210,60,"Beta-233762",,"Charcoal","Isnardis, 2009",10210,60
58,"Coqueirinho",10460,60,"Beta-237346",,"Charcoal","Neves et al., 2004a,b",10460,60
59,"Lapa das Boleiras",10150,130,"Beta-168451",,"Charcoal","Neves et al., 2004a,b",10150,130
60,"MG-RP-6-Lapa do Gentio",10190,120,"SI-6837",,"Charcoal","Dias, 1976e77",10190,120
61,"RS-I-66/Milton Almeida",10810,275,"SI-2722",,"Charcoal","Dias and Jacobus, 2001;",10810,275
62,"RS-I-69/Laranjito",10800,150,"N-2523",,"Charcoal","Dias and Jacobus, 2001;",10800,150
63,"RS-I-69/Laranjito",10400,110,"N-2521",,"Charcoal","Dias and Jacobus, 2001;",10275,57
64,"RS-I-69/Laranjito",10240,80,"SI-3106",,"Charcoal","Dias and Jacobus, 2001;",,
66,"Gruta do Pequiá",9000,50,"Beta-110699",,"Charcoal","Magalhães, 2005",9000,50
67,"Breu Branco 1",9570,70,"Beta-215041",,"Charcoal","Caldarelli et al., 2005",9570,70
68,"Breu Branco 2",9510,60,"Beta-215042",,"Charcoal","Caldarelli et al., 2005",9510,60
69,"Dona Stella",9460,50,"Beta-202678",,"Charcoal","Costa, 2009",9460,50
70,"Santa Elina",9790,20,"Gif-11121",,"Charcoal","Vialou, 2005",9720,20
71,"Santa Elina",9705,20,"Gif10685",,"Charcoal","Vialou, 2005",9705,20
72,"Santa Elina",9635,20,"Gif-10686",,"Charcoal","Vialou, 2005",9608,14
73,"Santa Elina",9580,20,"Gif-10684",,"Charcoal","Vialou, 2005",,
74,"Santa Elina",9460,90,"Gif-9367",,"Charcoal","Vialou, 2005",9333,14
75,"Santa Elina",9340,20,"Gif-10683",,"Charcoal","Vialou, 2005",,
76,"Santa Elina",9340,70,"Gif-11122",,"Charcoal","Vialou, 2005",,
77,"Santa Elina",9320,20,"Gif-10535",,"Charcoal","Vialou, 2005",,
78,"Miracema do Tocantins 1",9990,60,"Beta-168605",,"Charcoal","Bueno, 2007",9990,60
79,"Miracema do Tocantins 1",9790,70,"Beta-148339",,"Charcoal","Bueno, 2007",9721,46
80,"Miracema do Tocantins 1",9670,60,"Beta-190081",,"Charcoal","Bueno, 2007",,
81,"Miracema do Tocantins 1",9456,95,"Gif-11836",,"Charcoal","Bueno, 2007",9421,61
82,"Miracema do Tocantins 1",9397,80,"Gif-11835",,"Charcoal","Bueno, 2007",,
83,"Miracema do Tocantins 2",9890,80,"Beta-190082",,"Charcoal","Bueno, 2007",9890,80
84,"Mares 2",9940,60,"Beta-160599",,"Charcoal","Bueno, 2007",9940,60
85,"Capivara 5",9850,70,"Beta-160595",,"Charcoal","Bueno, 2007",9850,70
86,"Capivara 5",9410,60,"Beta-179197",,"Charcoal","Bueno, 2007",9410,60
87,"GO-JA-01",9510,60,"SI-3700",,"Charcoal","Schmitz, 1987",,
88,"GO-JA-01",9060,65,"SI-3698",,"Charcoal","Schmitz, 1987",9401,48
89,"GO-JA-01",9020,70,"SI-3697",,"Charcoal","Schmitz, 1987",,
90,"GO-JA-02",9195,75,"SI-3107",,"Charcoal","Schmitz, 1987",9195,75
91,"GO-JA-03",9765,75,"SI-3110",,"Charcoal","Schmitz, 1987;",9765,75
93,"Boqueirao da Pedra Furada",9800,60,"Gif-8351",,"Charcoal","Parenti, 1996;",9800,60
95,"Boqueirao da Pedra Furada",9506,135,"FZ-436",,"Charcoal","Parenti, 1996;",9506,135
97,"Toca do Sitio do Meio",9200,60,"Beta-65856",,"Charcoal","Guidon and Pessis, 1993",9200,60
98,"Toca da Janela da Barra",9670,140,"Gif-8712",,"Charcoal","Martin, 1996",9670,140
100,"Toca do Morcego",9200,40,"Beta-200145",,"Charcoal","Guidon et al., 2009",9190,28
101,"Toca do Morcego",9180,40,"Beta-200148",,"Charcoal","Guidon et al., 2009",,
102,"Toca do Bojo",9700,200,"Gif-4627",,"Charcoal","Guidon, 1986",9700,200
103,"Toca do Bojo",9080,170,"Gif-4925",,"Charcoal","Guidon, 1986",9080,170
104,"Sitio Toca dos Coqueiros",9870,50,"Beta-109844",,"Charcoal",,9870,50
105,"Caldeirao do Rodrigues",9480,170,"Gif-5650",,"Charcoal","Guidon, 1986",9480,170
106,"Toca do Zé Luis",9920,70,"Beta-159042",,"Charcoal",,9920,70
107,"Baixaodo Perna I",9540,170,"Gif-5414",,"Charcoal","Guidon, 1981",9386,117
109,"Baixaodo Perna I",9520,160,"MC-1056",,"Charcoal","Laroche et al., 1977",,
111,"Boa Vista I",9730,140,"Gif-4629",,"Charcoal","Guidon, 1981",9677,81
112,"Boa Vista I",9650,100,"Beta-32972",,"Charcoal","Guidon, 1981",,
113,"Boa Vista I",9160,170,"Gif-5864",,"Charcoal","Guidon, 1986",9160,170
114,"Boa Vista II",9850,120,"MC-2513",,"Charcoal","Guidon, 1981",9775,85
116,"Boa Vista II",9700,120,"MC-2481",,"Charcoal","Guidon, 1986",,
117,"Pedra do Alexandre",9400,90,"CSIC-1051",,"Charcoal","Martin, 1996",9400,90
118,"Pedra do Alexandre",9400,35,"CSIC-967",,"Charcoal","Martin, 1996",9400,35
119,"Furna do Estrago",9150,140,"SI-6296",,"Charcoal",,9150,140
120,"Abrigo do Pilão",9610,90,"Beta-10015",,"Charcoal","Bryan and Gruhn, 1993",9483,52
121,"Abrigo do Pilão",9450,90,"Beta-10605",,"Charcoal","Bryan and Gruhn, 1993",,
122,"Abrigo do Pilão",9390,90,"Beta-10017",,"Charcoal","Bryan and Gruhn, 1993",,
123,"Morro Furado (BA-RC-28)",9110,100,"SI-6748",,,"Schmitz et al., 1996",9110,100
124,"Lapa do Boquete",9870,260,"CDTN-1077",,"Charcoal","Kipnis, 2002",9870,260
125,"Lapa do Boquete",9350,80,"Beta-98573",,"Charcoal","Kipnis, 2002",9350,80
126,"Lapa dos Bichos",9500,130,"Beta-202775",,"Charcoal","Kipnis personnal",9280,67
128,"Lapa dos Bichos",9390,160,"Beta-100396",,"Charcoal","Kipnis, 1998, 2002",,
129,"Lapa dos Bichos",9140,90,"Beta-100391",,"Charcoal","Kipnis, 1998, 2002",,
130,"MG-VG-11 _ Boqueirão Soberbo",9135,105,"SI-5508",,,"Dias, 1991",9135,105
131,"Lapa Vermelha IV",9580,200,"Gif-3208",,"Charcoal","Laming-Emperaire, 1979",9387,57
132,"Lapa Vermelha IV",9370,60,"Beta-84439",,"Human bone","Laming-Emperaire, 1979",,
133,"Cerca Grande 6",9720,128,"P-521",,"Charcoal","Hurt and Blasi, 1969",9720,128
134,"Cerca Grande 6",9028,120,"P-519",,"Charcoal","Neves et al., 2004a,b",9028,120
135,"Cerca Grande 7",9130,60,"Beta-84446",,"Charcoal","Neves et al., 2004a,b",9130,60
136,"Lapa das Boleiras",9850,40,"Beta-168449",,"Charcoal","Neves et al., 2004a",9850,40
137,"Lapa das Boleiras",9600,60,"Beta-159236",,"Charcoal","Neves et al., 2004a",9600,60
138,"Lapa das Boleiras",9210,130,"Beta-159233",,"Charcoal","Neves et al., 2004a",9210,130
139,"Lapa do Braga",9780,70,"Beta-174736",,"Human bone","Neves and Hubbe, 2005",9780,70
140,"Lapa do Santo",9900,40,"Beta-214130",,"Charcoal","Neves et al., 2004a,b",9900,40
141,"Lapa do Santo",9520,60,"Beta-256223",,,,9520,60
142,"Lapa do Santo",9150,40,"Beta-214143",,"Charcoal","Neves et al., 2004a,b",9125,28
143,"Lapa do Santo",9100,40,"Beta-216518",,"Charcoal","Neves et al., 2004a,b",,
144,"Lapa Grande de Taquaruçu",9620,40,"Beta-216525",,"Charcoal","Neves et al., 2008",9591,31
145,"Lapa Grande de Taquaruçu",9550,60,"Beta-183575",,"Charcoal","Neves et al., 2008",,
146,"Lapa Grande de Taquaruçu",9540,90,"Beta-216526",,"Charcoal","Neves et al., 2008",,
147,"Lapa Grande de Taquaruçu",9040,40,"Beta-216532",,"Charcoal","Neves et al., 2008",9040,40
148,"Lapa Mortuária de Confins",9760,70,"Beta-221079",,"Charcoal","Neves et al., 2008",9760,70
149,"Santana do Riacho (Abrigo",9460,110,"Gif-4508",,"Bone","Prous, 1991; Kipnis, 2002",9460,110
151,"MG-RP-6-Lapa do Gentio",9580,200,"Gif-3208",,,"Dias, 1976e77",9580,200
153,"Gruta do Marinheiro",9610,60,"Beta-230980",,"Charcoal","Koole, 2007",9610,60
154,"Capelinha",9890,150,,,"Shell","Plens, 2007",9890,150
155,"Capelinha",9250,50,"Beta-189331",,,"Plens, 2007",9210,45
156,"Capelinha",9050,100,"Beta-189329",,"Shell","Figuti, 2004",,
157,"Batatal I",9050,100,"Beta-181329",,"Shell","Plens, 2007",9050,100
158,"RS-I-67/Touro Passo I",9840,105,"N-2519",,"Charcoal","Dias and Jacobus, 2001;",9840,105
160,"RS-I-67/Touro Passo I",9230,145,"SI-2625",,,"Dias and Jacobus, 2001;",9230,145
162,"RS-I-72/Palmito 2",9450,115,"SI-2634",,"Charcoal","Dias and Jacobus, 2001;",9450,115
164,"RS-IJ-67/Pessegueiro",9855,130,"SI-3749",,,"Dias and Jacobus, 2001;",9763,104
166,"RS-IJ-67/Pessegueiro",9595,175,"SI-2637",,"Charcoal","Dias and Jacobus, 2001;",,
167,"Gruta do Gavião",8140,130,,,"Charcoal","Magalhães, 2005",8140,130
169,"Gruta do Rato",8470,50,"Beta-110706",,"Charcoal","Magalhães, 2005",8470,50
170,"Gruta do Pequiá",8520,60,"Beta-110701",,"Charcoal","Magalhães, 2005",8520,60
171,"Gruta do Pequiá",8340,60,"Beta-110702",,"Charcoal","Magalhães, 2005",8340,60
172,"Gruta do Pequiá",8119,60,"Beta-110700",,"Charcoal","Magalhães, 2005",8119,60
173,"Gruta da Guarita",8260,50,"Beta-110703",,"Charcoal","Magalhães, 2005",8260,50
174,"NV-V",8850,40,"Beta-210858",,"Charcoal","Kipnis et al., 2005",8850,40
175,"NV-V",8680,40,"Beta-210857",,"Charcoal","Kipnis et al., 2005",8680,40
176,"N4-WS-017",8310,60,"Beta-215050",,"Charcoal","Kipnis et al., 2005",8310,60
177,"N4-WS-012",8240,90,"Beta-215053",,"Charcoal","Kipnis et al., 2005",8240,90
178,"N4-WS-005",8110,60,"Beta-215056",,"Charcoal","Kipnis et al., 2005",8085,46
179,"N4-WS-005",8050,70,"Beta-215057",,"Charcoal","Kipnis et al., 2005",,
180,"MT-SL-31",8390,80,"Beta-110550",,"Charcoal","Schmitz et al., 1996",8231,33
181,"MT-SL-31",8270,80,"Beta-110551",,"Charcoal","Schmitz et al., 1996",,
182,"MT-SL-31",8210,80,"Beta-110549",,"Charcoal","Schmitz et al., 1996",,
183,"MT-SL-31",8180,80,"Beta-91898",,"Charcoal","Schmitz et al., 1996",,
184,"MT-SL-31",8160,60,"Beta-91897",,"Charcoal","Schmitz et al., 1996",,
185,"Capivara 5",8980,70,"Beta-160594",,"Charcoal","Bueno, 2007",8980,70
186,"GO-JA-01",8915,115,"SI-3695",,"Charcoal","Schmitz, 1987",8806,58
187,"GO-JA-01",8805,100,"SI-3696",,"Charcoal","Schmitz, 1987",,
188,"GO-JA-01",8740,90,"N-2347",,"Charcoal","Schmitz, 1987",,
189,"GO-JA-26",8880,90,"SI-5563",,"Charcoal","Schmitz, 1987",8880,90
190,"Boqueirao da Pedra",8600,60,"Gif-8350",,,"Kipnis, 1998",8546,48
191,"Furada",8450,80,"Gif-6162",,,"Kipnis, 1998",,
192,"Furada",8170,80,"Gif-6436",,,"Kipnis, 1998",8130,62
193,"Furada",8080,120,"Gif-6157",,,"Kipnis, 1998",,
194,"Furada",8050,170,"Gif-4625",,,"Guidon, 1986",,
195,"Toca do Sitio do Meio",8960,70,"Beta-47493",,"Sherd","Melo, 2007",8868,46
196,"Toca do Sitio do Meio",8800,60,"Beta-47494",,,"Kipnis, 1998",,
197,"Toca da Baixa do Cipo",8700,90,"Gif-6957",,,"Kipnis, 1998",8700,90
